_id;baujahr;baujahrZusatz;bezirk;denkmalnummer;feedsEntityId;feedsFlatstoreEntryId;kurzbezeichnung;lat;lon;nummer;ort;plz;strasse;timestamp;unterSchutz;"untergruppe1";"untergruppe2"
;"1910";;1;1;1187;1;Allee;50.9353499;6.9767532;"o.Nr.";Deutz;50679;Adolphstrasse;1432648733;"01.07.1980";;"0"
;"1900";um;1;2;1187;2;Allee;50.9219475;6.9672721;"o.Nr.";"Neustadt-Süd";50678;"Agrippinaufer ";1432648733;"01.07.1980";;"0"
;"1908";;1;3;1187;3;"Lagergebäude 22 (sog. Siebengebirge) u. ehem. Rheinbastion";50.9207509;6.9686769;"o.Nr.";"Neustadt-Süd";50678;"Agrippinawerft ";1432648733;"01.07.1980";;"0"
;"1910";um;1;4;1187;4;Drehbrücke;50.9282184;6.9742625;"o.Nr.";Deutz;50679;"Alfred-Schütte-Allee ";1432648733;"01.07.1980";;"0"
;"1890";um;1;5;1187;5;Allee;50.9176964;6.9633875;"o.Nr.";"Neustadt-Süd";50678;"Alteburger Strasse";1432648733;"01.07.1980";;"0"
;"1";;1;6;1187;6;"Reste d. röm. Stadtmauer u. 2 Türmen";0.0;0.0;"o.Nr.";"Altstadt-Süd";50676;"Alte Mauer am Bach";1432648733;"01.07.1980";;"0"
;"1884";;1;7;1187;7;"Jan-von-Werth-Brunnen";50.9379382;6.9599394;"o.Nr.";"Altstadt-Süd";50667;"Alter Markt";1432648733;"01.07.1980";;"0"
;"1900";um;1;10;1187;10;Allee;0.0;0.0;"o.Nr.";"Neustadt-Süd";50678;"Am Bayenturm ";1432648733;"01.07.1980";;"0"
;"18";;1;8;1187;8;"Steinerne Pumpe";50.9379382;6.9599394;"o.Nr.";"Altstadt-Süd";50667;"Alter Markt";1432648733;"01.07.1980";;"0"
;"19";;4;9;1187;9;Litfaßsäule;50.9604188;6.9320606;"24";Neuehrenfeld;50823;Parkgürtel;1432648733;"01.07.1980";;"0"
;"13";;1;11;1187;11;"Turm der Stadtbefestigung";0.0;0.0;"o.Nr.";"Neustadt-Süd";50678;"Am Bayenturm ";1432648733;"01.07.1980";;"0"
;"18";;1;12;1187;12;Pumpe;0.0;0.0;"o.Nr.";"Altstadt-Nord";50667;"Am Hof ";1432648733;"01.07.1980";;"0"
;"1899";;1;13;1187;13;Heinzelmännchenbrunnen;0.0;0.0;"o.Nr.";"Altstadt-Nord";50667;"Am Hof ";1432648733;"01.07.1980";;"0"
;"1900";um;1;14;1187;14;Allee;0.0;0.0;"o.Nr.";"Altstadt-Süd";50676;"Am Leystapel";1432648733;"01.07.1980";;"0"
;"1734";;1;15;1187;15;"Stadtmauerreste (Pforte)";0.0;0.0;"o.Nr.";"Altstadt-Süd";50676;"Am Leystapel";1432648733;"09.03.1983";;"0"
;"1677";;1;16;1187;16;"Stadtbefestigungsturm / ehem. Windmühle (Bottmühle)";0.0;0.0;"o.Nr.";"Neustadt-Süd";50678;"An der Bottmühle ";1432648733;"01.07.1980";;"0"
;"1923";;1;17;1187;17;Institutsgebäude;0.0;0.0;"2";"Neustadt-Süd";50678;"An der Bottmühle ";1432648733;"01.07.1980";;"0"
;"1400";ab;1;18;1187;18;"Kreuzgang mit 2 Skulpturen";0.0;0.0;"7";"Altstadt-Nord";50667;"An der Rechtsschule ";1432648733;"01.07.1980";;"0"
;"19";;1;19;1187;19;"Platzgestaltung / Grünanlage";0.0;0.0;"o.Nr.";"Altstadt-Nord";50672;Apostelnkloster;1432648733;"01.07.1980";;"0"
;"1900";;1;20;1187;20;Schule;50.95300535;6.96021654664426;"87";"Neustadt-Nord";50670;Balthasarstrasse;1432648733;"01.07.1980";;"0"
;"1900";um;1;21;1187;21;Allee;50.9272106;6.963628;"o.Nr.";"Altstadt-Süd";50678;Bayenstrasse;1432648733;"01.07.1980";;"0"
;"1903";;1;22;1187;22;"Platzgestaltung / Grünanlage";0.0;0.0;"o.Nr.";"Neustadt-Süd";50674;"Yitzhak-Rabin-Platz (Beethovenplatz) ";1432648733;"01.07.1980";;"0"
;"1890";um;1;23;1187;23;Allee;50.9330545;6.9398945;"o.Nr.";"Neustadt-Süd";50674;Beethovenstrasse;1432648733;"01.07.1980";;"0"
;"1900";"nach ";1;24;1187;24;Allee;0.0;0.0;"o.Nr.";"Neustadt-Nord";50670;"Blumenthalstrasse zwischen Riehler Platz,Merlostrasse bis Hülchrather Strasse";1432648733;"01.07.1980";;"0"
;"1910";um;1;25;1187;25;"Büro- u. Geschäftshaus";50.9379742;6.9548121;"17";"Altstadt-Nord";50667;Brückenstrasse;1432648733;"01.07.1980";;"0"
;"18";;1;26;1187;26;"KD-Wegekreuz";50.9381879;6.9326464;"o.Nr.";"Neustadt-Nord";50674;"Brüsseler Platz";1432648733;"01.07.1980";;"0"
;"1890";;1;27;1187;27;"Kinderspielplatz / Geländer";50.926414;6.960852;"o.Nr.";"Altstadt-Süd";50678;"Buschgasse ";1432648733;"01.07.1980";;"0"
;"1150";vor;1;28;1187;28;"Kirche, Schnütgen-Museum";50.9348808;6.9520289;"17-19";"Altstadt-Süd";50676;"Cäcilienkloster ";1432648733;"01.07.1980";;"0"
;"13";;1;29;1187;29;"Stadttor u. Platzgestaltung";50.92107365;6.959645870898;"o.Nr.";"Neustadt-Süd";50678;"Chlodwigplatz ";1432648733;"01.07.1980";;"0"
;"20";;1;30;1187;30;Allee;50.9546694;6.9665792;"o.Nr.";"Neustadt-Nord";50668;"Clever Strasse";1432648733;"01.07.1980";;"0"
;"18";;1;31;1187;31;"Steinerne Pumpe";50.9480059;6.9627071;"o.Nr.";"Altstadt-Nord";50668;Dagobertstrasse;1432648733;"01.07.1980";;"0"
;"19";;1;32;1187;32;"ehem. Friedhof einschl. Einfriedung";0.0;0.0;"o.Nr.";Deutz;50679;"Deutz-Kalker-Strasse / Gummersbacher Strasse";1432648733;"01.07.1980";;"0"
;"1913";;1;33;1187;33;Stadtbücherei;50.9370627;6.98336694278729;"52";Deutz;50679;"Deutz-Kalker-Strasse";1432648733;"01.07.1980";;"0"
;"1913";;1;34;1187;34;"Hallenbad mit Heizkraftwerk";0.0;0.0;"54";Deutz;50679;"Deutz-Kalker-Strasse / Eitorfer Strasse";1432648733;"01.07.1980";;"0"
;"19";;1;35;1187;35;"Platzgestaltung / Grünanlage";50.9239671;6.94425205178361;"o.Nr.";"Neustadt-Süd";50677;"Eifelplatz ";1432648733;"01.07.1980";;"0"
;"80";;1;36;1187;36;Baumreihe;50.9253662;6.9457963;"o.Nr.";"Neustadt-Süd";50677;Eifelstrasse;1432648733;"01.07.1980";;"0"
