_id,baujahr,baujahrZusatz,bezirk,denkmalnummer,feedsEntityId,feedsFlatstoreEntryId,kurzbezeichnung,lat,lon,nummer,ort,plz,strasse,timestamp,unterSchutz,untergruppe1,untergruppe2
,1,,1,6,1187,6,"Reste d. röm. Stadtmauer u. 2 Türmen",0.0,0.0,o.Nr.,Altstadt-Süd,50676,"Alte Mauer am Bach",1432648733,01.07.1980,,0
,1900,um,1,10,1187,10,Allee,0.0,0.0,o.Nr.,Neustadt-Süd,50678,"Am Bayenturm ",1432648733,01.07.1980,,0
,13,,1,11,1187,11,"Turm der Stadtbefestigung",0.0,0.0,o.Nr.,Neustadt-Süd,50678,"Am Bayenturm ",1432648733,01.07.1980,,0
,18,,1,12,1187,12,Pumpe,0.0,0.0,o.Nr.,Altstadt-Nord,50667,"Am Hof ",1432648733,01.07.1980,,0
,1899,,1,13,1187,13,Heinzelmännchenbrunnen,0.0,0.0,o.Nr.,Altstadt-Nord,50667,"Am Hof ",1432648733,01.07.1980,,0
,1900,um,1,14,1187,14,Allee,0.0,0.0,o.Nr.,Altstadt-Süd,50676,"Am Leystapel",1432648733,01.07.1980,,0
,1734,,1,15,1187,15,"Stadtmauerreste (Pforte)",0.0,0.0,o.Nr.,Altstadt-Süd,50676,"Am Leystapel",1432648733,09.03.1983,,0
,1677,,1,16,1187,16,"Stadtbefestigungsturm / ehem. Windmühle (Bottmühle)",0.0,0.0,o.Nr.,Neustadt-Süd,50678,"An der Bottmühle ",1432648733,01.07.1980,,0
,1923,,1,17,1187,17,Institutsgebäude,0.0,0.0,2,Neustadt-Süd,50678,"An der Bottmühle ",1432648733,01.07.1980,,0
,1400,ab,1,18,1187,18,"Kreuzgang mit 2 Skulpturen",0.0,0.0,7,Altstadt-Nord,50667,"An der Rechtsschule ",1432648733,01.07.1980,,0
,19,,1,19,1187,19,"Platzgestaltung / Grünanlage",0.0,0.0,o.Nr.,Altstadt-Nord,50672,Apostelnkloster,1432648733,01.07.1980,,0
,1903,,1,22,1187,22,"Platzgestaltung / Grünanlage",0.0,0.0,o.Nr.,Neustadt-Süd,50674,"Yitzhak-Rabin-Platz (Beethovenplatz) ",1432648733,01.07.1980,,0
,1900,"nach ",1,24,1187,24,Allee,0.0,0.0,o.Nr.,Neustadt-Nord,50670,"Blumenthalstrasse zwischen Riehler Platz,Merlostrasse bis Hülchrather Strasse",1432648733,01.07.1980,,0
,19,,1,32,1187,32,"ehem. Friedhof einschl. Einfriedung",0.0,0.0,o.Nr.,Deutz,50679,"Deutz-Kalker-Strasse / Gummersbacher Strasse",1432648733,01.07.1980,,0
,1913,,1,34,1187,34,"Hallenbad mit Heizkraftwerk",0.0,0.0,54,Deutz,50679,"Deutz-Kalker-Strasse / Eitorfer Strasse",1432648733,01.07.1980,,0
,1914,,1,61,1187,61,"Verteidigungsanlage Fort I",0.0,0.0,o.Nr.,Neustadt-Süd,50678,"Oberländer Wall /Friedenspark",1432648733,01.07.1980,,0
,1900,um,1,62,1187,62,"Platzgestaltung / Grünanlage",0.0,0.0,o.Nr.,Neustadt-Süd,50674,"Hohenstaufenring /Zülpicher Strasse",1432648733,01.07.1980,,0
,1907,,1,63,1187,63,"Brücke mit Widerlagern u. Reiterdenkmälern",0.0,0.0,o.Nr.,Altstadt,50667,Hohenzollernbrücke,1432648733,01.07.1980,,0
,1914,,1,67,1187,67,Hänneschen-Brunnen,0.0,0.0,o.Nr.,Altstadt-Süd,50678,"Im Dau ",1432648733,01.07.1980,,0
,1912,,1,68,1187,68,"Grünanlage mit Verteidigungsanlage Fort X",0.0,0.0,o.Nr.,Neustadt-Nord,50672,"Innere Kanalstrasse",1432648733,01.07.1980,,0
,1919,,1,69,1187,69,Grünanlage,0.0,0.0,o.Nr.,Neustadt-Nord,50672,"Innere Kanalstrasse",1432648733,01.07.1980,,0
,1919,,1,70,1187,70,Grünanlage,0.0,0.0,o.Nr.,Neustadt-Nord,50672,"Innere Kanalstrasse",1432648733,01.07.1980,,0
